Solver,Avg Score,Min Score,Max Score,Std Score,Avg Runtime,Min Runtime,Max Runtime,Std Runtime,Samples
Three Opt,2.0,0,4,1.4142135623730951,2.0,0,4,1.4142135623730951,5
Memetic,2.5,0,5,1.707825127659933,2.5,0,5,1.707825127659933,6
Hybrid Genetic,2.5,0,5,1.707825127659933,2.5,0,5,1.707825127659933,6
Genetic Algorithm,2.5,0,5,1.707825127659933,2.5,0,5,1.707825127659933,6
Ant Colony,2.5,0,5,1.707825127659933,2.5,0,5,1.707825127659933,6
Mtz,2.5,0,5,1.707825127659933,2.5,0,5,1.707825127659933,6
Variable Neighborhood,2.5,0,5,1.707825127659933,2.5,0,5,1.707825127659933,6
Evolution Strategies,2.5,0,5,1.707825127659933,2.5,0,5,1.707825127659933,6
Tabu Search,2.5,0,5,1.707825127659933,2.5,0,5,1.707825127659933,6
Multi Objective Genetic,2.5,0,5,1.707825127659933,2.5,0,5,1.707825127659933,6
Lkh,2.5,0,5,1.707825127659933,2.5,0,5,1.707825127659933,6
Concorde Hybrid,2.5,0,5,1.707825127659933,2.5,0,5,1.707825127659933,6
Held Karp,2.5,0,5,1.707825127659933,2.5,0,5,1.707825127659933,6
Dfj,2.5,0,5,1.707825127659933,2.5,0,5,1.707825127659933,6
Grasp,2.5,0,5,1.707825127659933,2.5,0,5,1.707825127659933,6
Iterated Local Search,2.5,0,5,1.707825127659933,2.5,0,5,1.707825127659933,6
Branch And Bound,2.5,0,5,1.707825127659933,2.5,0,5,1.707825127659933,6
Advanced Genetic,2.5,0,5,1.707825127659933,2.5,0,5,1.707825127659933,6
Lin Kernighan,3.5,0,7,2.29128784747792,3.5,0,7,2.29128784747792,8
Advanced Simulated Annealing,3.5,0,7,2.29128784747792,3.5,0,7,2.29128784747792,8
Simulated Annealing,3.5,0,7,2.29128784747792,3.5,0,7,2.29128784747792,8
Christofides,4.5,0,9,2.8722813232690143,4.5,0,9,2.8722813232690143,10
Nearest Insertion Two Opt,4.5,0,9,2.8722813232690143,4.5,0,9,2.8722813232690143,10
Farthest Insertion Two Opt,4.5,0,9,2.8722813232690143,4.5,0,9,2.8722813232690143,10
Two Opt,4.5,0,9,2.8722813232690143,4.5,0,9,2.8722813232690143,10
