Solver,Relative_Score,Average_Runtime_Seconds,Performance_vs_NN
Christofides,0.9311837624489364,30.669642317004037,6.88%
Lkh,0.9641806659200021,100.00544209399959,3.58%
Memetic,0.9746523351729572,100.07865825700476,2.53%
Branch And Bound,0.9747546956933576,75.6436456128334,2.52%
Concorde Hybrid,0.9768514042042451,100.00594420449731,2.31%
Hybrid Genetic,0.9910331963118767,100.67816831783664,0.90%
Three Opt,0.9912287204245145,102.55911726400373,0.88%
Dfj,0.992875819867264,2.1932046735018957,0.71%
Held Karp,0.9969088842110193,8.047655115330903,0.31%
Advanced Genetic,0.9970736869284579,100.06243061867038,0.29%
Mtz,0.9983038505890951,2.2343756524981777,0.17%
Iterated Local Search,0.998469241130793,98.17190157717171,0.15%
Two Opt,0.9986865200567422,101.93795936489478,0.13%
Simulated Annealing,0.9999974012807316,1.9810236030061787,0.00%
Advanced Simulated Annealing,1.0,2.1924460954978713,0.00% worse
Lin Kernighan,1.0,3.0541748203977477,0.00% worse
Evolution Strategies,1.0,100.00539934483338,0.00% worse
Nearest Insertion Two Opt,1.0,1.1841895592981018,0.00% worse
Farthest Insertion Two Opt,1.0,1.3146278023952618,0.00% worse
Variable Neighborhood,1.0,100.00694185799027,0.00% worse
Multi Objective Genetic,1.0,100.12815642083297,0.00% worse
Tabu Search,1.0,112.40804566216927,0.00% worse
Grasp,2.262792128307758,100.00291932250548,126.28% worse
Ant Colony,2.567594190604462,100.12577581049118,156.76% worse
Genetic Algorithm,58.07618689709466,103.82320734500051,5707.62% worse
